MATRIZ INVERSA 1
 0.055	-0.041	0.154	-0.099	0.209	0.040	0.039	0.193	-0.499	0.024	
-0.084	0.039	-0.218	0.140	-0.307	-0.037	-0.070	-0.310	0.749	-0.021	
0.119	-0.066	0.320	-0.207	0.436	0.063	0.088	0.432	-1.058	0.037	
0.027	-0.017	0.084	-0.050	0.120	0.017	0.029	0.127	-0.292	0.005	
-0.083	0.058	-0.241	0.154	-0.328	-0.061	-0.065	-0.317	0.794	-0.032	
0.079	-0.047	0.216	-0.136	0.303	0.047	0.068	0.303	-0.743	0.029	
-0.179	0.105	-0.483	0.310	-0.676	-0.096	-0.147	-0.672	1.636	-0.056	
0.160	-0.093	0.444	-0.282	0.629	0.091	0.137	0.632	-1.519	0.045	
-0.144	0.090	-0.397	0.252	-0.555	-0.086	-0.114	-0.550	1.338	-0.045	
0.180	-0.101	0.470	-0.302	0.660	0.093	0.142	0.658	-1.597	0.050	
