MATRIZ INVERSA 2
0.032	0.002	0.021	-0.020	-0.009	-0.010	-0.037	-0.039	0.012	0.031	
0.044	-0.045	0.015	0.008	-0.012	-0.003	-0.015	0.060	-0.016	-0.014	
-0.031	0.070	-0.026	-0.051	0.075	-0.065	0.055	-0.043	0.017	-0.004	
0.006	-0.038	-0.010	0.031	-0.028	0.022	0.023	0.014	-0.015	0.005	
0.001	-0.038	0.030	0.059	-0.044	0.049	-0.011	0.046	-0.017	-0.050	
-0.016	0.004	-0.041	0.016	0.012	0.008	-0.016	-0.023	0.030	0.020	
-0.005	-0.029	0.053	-0.019	0.017	0.008	-0.026	0.020	0.000	-0.010	
0.001	-0.035	-0.032	0.044	-0.075	0.073	0.003	-0.005	0.011	0.017	
-0.005	0.058	0.007	-0.037	0.035	-0.083	0.020	0.005	0.002	0.002	
-0.036	0.033	-0.008	-0.007	0.024	0.039	0.012	-0.008	-0.033	-0.001	
